CaseID,Activity,Timestamp,Resource
0,0,2010-10-02 07:20:39.266000+00:00,0
0,1,2010-10-02 07:21:26.588000+00:00,0
0,2,2010-10-02 07:31:12.836000+00:00,0
0,1,2010-10-02 07:31:40.160000+00:00,0
0,2,2010-10-02 07:32:01.401000+00:00,0
0,1,2010-11-09 13:13:52.563000+00:00,1
0,3,2010-11-09 13:14:10.016000+00:00,1
0,4,2010-11-09 13:14:22.628000+00:00,1
0,5,2010-11-09 13:14:37.300000+00:00,1
0,6,2010-11-09 13:17:36.097000+00:00,1
0,5,2010-11-10 06:52:33.800000+00:00,0
0,6,2010-11-10 06:52:51.041000+00:00,0
0,5,2010-11-10 06:53:08.065000+00:00,0
0,7,2010-11-10 08:38:45.959000+00:00,2
0,8,2010-11-10 08:38:57.202000+00:00,2
0,9,2010-11-10 08:39:07.674000+00:00,2
0,10,2010-11-10 08:39:21.494000+00:00,2
0,11,2010-11-12 12:40:44.291000+00:00,0
1,0,2010-10-05 06:32:48.565000+00:00,3
1,5,2010-10-05 06:42:49.801000+00:00,3
1,1,2010-10-05 07:31:29.133000+00:00,4
1,6,2010-10-05 07:32:37.563000+00:00,4
1,5,2010-10-05 07:39:14.231000+00:00,3
1,7,2010-10-05 07:40:16.663000+00:00,3
1,3,2010-10-05 08:44:20.945000+00:00,5
1,4,2010-10-05 13:16:10.469000+00:00,1
2,0,2010-10-05 11:01:58.437000+00:00,6
2,5,2010-10-05 11:07:35.391000+00:00,6
2,7,2010-10-05 11:08:22.858000+00:00,6
2,1,2010-10-05 13:03:36.552000+00:00,4
2,2,2010-10-05 13:22:03.157000+00:00,6
2,1,2010-10-05 13:26:38.519000+00:00,4
2,3,2010-10-06 07:12:49.541000+00:00,5
2,4,2010-10-07 13:16:55.755000+00:00,6
3,0,2010-10-18 07:24:27.073000+00:00,7
3,5,2010-10-18 08:45:17.970000+00:00,7
3,1,2010-10-18 09:25:15.229000+00:00,0
3,2,2010-10-18 10:27:27.873000+00:00,7
3,1,2010-10-20 10:18:19.102000+00:00,4
3,12,2010-10-21 06:14:04.349000+00:00,7
3,5,2010-10-21 06:36:37.616000+00:00,7
3,7,2010-10-21 06:37:49.327000+00:00,7
3,2,2010-10-21 07:23:05.590000+00:00,7
3,1,2010-10-21 09:40:14.028000+00:00,4
3,2,2010-10-21 09:47:50.697000+00:00,7
3,1,2010-10-21 09:50:06.814000+00:00,4
3,3,2010-10-22 11:21:52.847000+00:00,8
3,4,2010-10-25 09:52:01.185000+00:00,9
4,0,2010-10-20 10:56:58.348000+00:00,1
4,1,2010-10-20 10:57:49.263000+00:00,1
4,3,2010-10-20 10:58:58.565000+00:00,1
4,4,2010-10-20 10:59:23.662000+00:00,1
4,5,2010-10-20 11:02:33.507000+00:00,1
4,7,2010-11-08 13:07:42.360000+00:00,1
5,0,2010-10-22 07:57:23.546000+00:00,7
5,1,2010-10-22 07:57:46.254000+00:00,7
5,3,2010-10-22 07:58:13.317000+00:00,7
5,4,2010-10-22 07:58:35.137000+00:00,7
5,5,2010-10-22 07:59:04.836000+00:00,7
5,7,2010-10-22 07:59:36.800000+00:00,7
6,0,2010-10-22 09:17:05.605000+00:00,10
6,5,2010-10-22 09:23:44.282000+00:00,10
6,1,2010-10-22 09:23:58.873000+00:00,10
6,3,2010-10-22 09:24:08.474000+00:00,10
6,7,2010-10-22 09:30:31.019000+00:00,10
6,4,2010-10-22 09:34:43.024000+00:00,10
7,0,2010-10-25 13:57:54.249000+00:00,11
7,5,2010-10-25 14:13:31.442000+00:00,11
7,12,2010-10-26 07:38:40.195000+00:00,11
7,6,2010-10-26 07:39:17.902000+00:00,11
7,13,2010-10-26 07:41:04.891000+00:00,11
7,14,2010-10-26 07:42:16.765000+00:00,11
7,15,2010-11-02 14:47:29.459000+00:00,12
7,16,2010-11-04 08:07:41.168000+00:00,13
7,17,2010-11-04 08:12:24.545000+00:00,13
7,1,2010-11-04 08:34:05.717000+00:00,5
7,3,2010-11-04 08:37:44.329000+00:00,5
7,4,2010-11-04 12:41:14.073000+00:00,14
7,5,2010-11-04 12:56:19.742000+00:00,11
7,7,2010-11-04 12:56:48.479000+00:00,11
8,0,2010-10-26 07:18:14.992000+00:00,6
8,1,2010-10-26 13:51:51.369000+00:00,5
8,3,2010-10-28 09:45:05.599000+00:00,5
8,4,2010-10-28 11:45:19.365000+00:00,9
8,5,2010-11-02 13:38:22.827000+00:00,6
8,7,2010-11-02 13:38:47.479000+00:00,6
9,0,2010-10-26 07:45:05.690000+00:00,6
9,1,2010-10-26 13:51:10.937000+00:00,5
9,3,2010-10-28 09:44:43.133000+00:00,5
