torch.Size([13791, 16, 15])
aplicado mamba


Epoch 0: | Train Loss: 0.834396 | Val Loss: 0.687184 | Train Acc: 75.338 | Val Acc: 78.715
Epoch 1: | Train Loss: 0.780490 | Val Loss: 0.667019 | Train Acc: 75.338 | Val Acc: 78.724
Epoch 2: | Train Loss: 0.747579 | Val Loss: 0.650978 | Train Acc: 75.337 | Val Acc: 78.718
Epoch 3: | Train Loss: 0.731467 | Val Loss: 0.649650 | Train Acc: 75.338 | Val Acc: 78.736
Epoch 4: | Train Loss: 0.721224 | Val Loss: 0.634287 | Train Acc: 75.337 | Val Acc: 78.734
Epoch 5: | Train Loss: 0.713348 | Val Loss: 0.645335 | Train Acc: 75.337 | Val Acc: 78.735
Epoch 6: | Train Loss: 0.707118 | Val Loss: 0.625535 | Train Acc: 75.337 | Val Acc: 78.738
Epoch 7: | Train Loss: 0.701474 | Val Loss: 0.636949 | Train Acc: 75.338 | Val Acc: 78.734
Epoch 8: | Train Loss: 0.697303 | Val Loss: 0.624803 | Train Acc: 75.338 | Val Acc: 78.736
Epoch 9: | Train Loss: 0.694184 | Val Loss: 0.625618 | Train Acc: 75.337 | Val Acc: 78.737
Epoch 10: | Train Loss: 0.692003 | Val Loss: 0.624800 | Train Acc: 75.338 | Val Acc: 78.731
Epoch 11: | Train Loss: 0.688243 | Val Loss: 0.646902 | Train Acc: 75.338 | Val Acc: 78.736
Epoch 12: | Train Loss: 0.686919 | Val Loss: 0.629084 | Train Acc: 75.339 | Val Acc: 78.735
Epoch 13: | Train Loss: 0.685368 | Val Loss: 0.637444 | Train Acc: 75.341 | Val Acc: 78.736
Epoch 14: | Train Loss: 0.684348 | Val Loss: 0.630830 | Train Acc: 75.345 | Val Acc: 78.735
Epoch 15: | Train Loss: 0.682975 | Val Loss: 0.640892 | Train Acc: 75.350 | Val Acc: 78.728
Epoch 16: | Train Loss: 0.681393 | Val Loss: 0.637491 | Train Acc: 75.347 | Val Acc: 78.735
Epoch 17: | Train Loss: 0.682078 | Val Loss: 0.633684 | Train Acc: 75.355 | Val Acc: 78.731
Epoch 18: | Train Loss: 0.681166 | Val Loss: 0.629090 | Train Acc: 75.361 | Val Acc: 78.736
Epoch 19: | Train Loss: 0.680108 | Val Loss: 0.625031 | Train Acc: 75.373 | Val Acc: 78.740
Epoch 20: | Train Loss: 0.679352 | Val Loss: 0.633618 | Train Acc: 75.387 | Val Acc: 78.735
Epoch 21: | Train Loss: 0.679117 | Val Loss: 0.635475 | Train Acc: 74.772 | Val Acc: 77.321
Epoch 22: | Train Loss: 0.677667 | Val Loss: 0.631733 | Train Acc: 74.036 | Val Acc: 77.425
Epoch 23: | Train Loss: 0.678851 | Val Loss: 0.635145 | Train Acc: 73.753 | Val Acc: 78.766
Epoch 24: | Train Loss: 0.677814 | Val Loss: 0.622439 | Train Acc: 75.177 | Val Acc: 78.751
Epoch 25: | Train Loss: 0.676493 | Val Loss: 0.626761 | Train Acc: 73.694 | Val Acc: 75.993
Epoch 26: | Train Loss: 0.675369 | Val Loss: 0.635235 | Train Acc: 73.296 | Val Acc: 75.916
Epoch 27: | Train Loss: 0.676603 | Val Loss: 0.623320 | Train Acc: 73.174 | Val Acc: 78.754
Epoch 28: | Train Loss: 0.674523 | Val Loss: 0.623358 | Train Acc: 74.047 | Val Acc: 75.943
Epoch 29: | Train Loss: 0.673738 | Val Loss: 0.621755 | Train Acc: 74.162 | Val Acc: 77.339
Epoch 30: | Train Loss: 0.673012 | Val Loss: 0.639598 | Train Acc: 74.992 | Val Acc: 78.784
Epoch 31: | Train Loss: 0.673095 | Val Loss: 0.622272 | Train Acc: 75.475 | Val Acc: 78.789
Epoch 32: | Train Loss: 0.672910 | Val Loss: 0.617808 | Train Acc: 74.933 | Val Acc: 75.940
Epoch 33: | Train Loss: 0.671562 | Val Loss: 0.623160 | Train Acc: 74.928 | Val Acc: 78.770
Epoch 34: | Train Loss: 0.670838 | Val Loss: 0.623926 | Train Acc: 74.719 | Val Acc: 77.382
Epoch 35: | Train Loss: 0.670329 | Val Loss: 0.649536 | Train Acc: 75.384 | Val Acc: 78.756
Epoch 36: | Train Loss: 0.669065 | Val Loss: 0.620595 | Train Acc: 75.580 | Val Acc: 78.815
Epoch 37: | Train Loss: 0.669507 | Val Loss: 0.620745 | Train Acc: 75.380 | Val Acc: 75.273
Epoch 38: | Train Loss: 0.669008 | Val Loss: 0.620094 | Train Acc: 75.234 | Val Acc: 79.153
Epoch 39: | Train Loss: 0.668367 | Val Loss: 0.609908 | Train Acc: 75.681 | Val Acc: 77.692
Epoch 40: | Train Loss: 0.667241 | Val Loss: 0.605171 | Train Acc: 75.731 | Val Acc: 77.700
Epoch 41: | Train Loss: 0.665367 | Val Loss: 0.604557 | Train Acc: 75.858 | Val Acc: 78.826
Epoch 42: | Train Loss: 0.665094 | Val Loss: 0.611765 | Train Acc: 75.865 | Val Acc: 78.819
Epoch 43: | Train Loss: 0.664110 | Val Loss: 0.604145 | Train Acc: 75.659 | Val Acc: 78.808
Epoch 44: | Train Loss: 0.663447 | Val Loss: 0.604546 | Train Acc: 75.728 | Val Acc: 78.790
Epoch 45: | Train Loss: 0.662050 | Val Loss: 0.597843 | Train Acc: 76.085 | Val Acc: 78.833
Epoch 46: | Train Loss: 0.659913 | Val Loss: 0.597143 | Train Acc: 76.091 | Val Acc: 78.778
Epoch 47: | Train Loss: 0.659072 | Val Loss: 0.593315 | Train Acc: 76.157 | Val Acc: 78.792
Epoch 48: | Train Loss: 0.658891 | Val Loss: 0.581144 | Train Acc: 76.366 | Val Acc: 78.793
Epoch 49: | Train Loss: 0.656928 | Val Loss: 0.580198 | Train Acc: 76.251 | Val Acc: 78.829
Epoch 50: | Train Loss: 0.656878 | Val Loss: 0.577864 | Train Acc: 76.419 | Val Acc: 78.892
Epoch 51: | Train Loss: 0.655517 | Val Loss: 0.577215 | Train Acc: 76.951 | Val Acc: 78.901
Epoch 52: | Train Loss: 0.655061 | Val Loss: 0.570109 | Train Acc: 77.293 | Val Acc: 80.576
Epoch 53: | Train Loss: 0.655142 | Val Loss: 0.574188 | Train Acc: 76.805 | Val Acc: 79.567
Epoch 54: | Train Loss: 0.655166 | Val Loss: 0.570322 | Train Acc: 76.841 | Val Acc: 80.588
Epoch 55: | Train Loss: 0.653628 | Val Loss: 0.575024 | Train Acc: 76.511 | Val Acc: 78.944
Epoch 56: | Train Loss: 0.653845 | Val Loss: 0.570649 | Train Acc: 76.939 | Val Acc: 79.532
Epoch 57: | Train Loss: 0.653714 | Val Loss: 0.566740 | Train Acc: 76.597 | Val Acc: 79.566
Epoch 58: | Train Loss: 0.653977 | Val Loss: 0.569427 | Train Acc: 76.589 | Val Acc: 78.881
Epoch 59: | Train Loss: 0.653044 | Val Loss: 0.569762 | Train Acc: 76.366 | Val Acc: 82.009
Epoch 60: | Train Loss: 0.652958 | Val Loss: 0.573837 | Train Acc: 76.642 | Val Acc: 79.255
Epoch 61: | Train Loss: 0.653444 | Val Loss: 0.566690 | Train Acc: 76.487 | Val Acc: 79.213
Epoch 62: | Train Loss: 0.652928 | Val Loss: 0.565994 | Train Acc: 76.578 | Val Acc: 78.956
Epoch 63: | Train Loss: 0.652772 | Val Loss: 0.566061 | Train Acc: 76.604 | Val Acc: 80.571
Epoch 64: | Train Loss: 0.652166 | Val Loss: 0.567275 | Train Acc: 76.669 | Val Acc: 78.802
Epoch 65: | Train Loss: 0.651638 | Val Loss: 0.572430 | Train Acc: 76.639 | Val Acc: 78.957
Epoch 66: | Train Loss: 0.652227 | Val Loss: 0.570270 | Train Acc: 76.336 | Val Acc: 79.231
Epoch 67: | Train Loss: 0.652235 | Val Loss: 0.563883 | Train Acc: 76.362 | Val Acc: 80.568
Epoch 68: | Train Loss: 0.651789 | Val Loss: 0.571493 | Train Acc: 76.380 | Val Acc: 78.803
Epoch 69: | Train Loss: 0.652220 | Val Loss: 0.567158 | Train Acc: 76.454 | Val Acc: 78.825
Epoch 70: | Train Loss: 0.651367 | Val Loss: 0.581780 | Train Acc: 76.401 | Val Acc: 78.760
Epoch 71: | Train Loss: 0.651893 | Val Loss: 0.567666 | Train Acc: 76.338 | Val Acc: 78.893
Epoch 72: | Train Loss: 0.651785 | Val Loss: 0.565442 | Train Acc: 76.561 | Val Acc: 79.208
Epoch 73: | Train Loss: 0.652160 | Val Loss: 0.567804 | Train Acc: 76.555 | Val Acc: 78.816
Epoch 74: | Train Loss: 0.652269 | Val Loss: 0.563069 | Train Acc: 76.385 | Val Acc: 80.565
Epoch 75: | Train Loss: 0.651515 | Val Loss: 0.565306 | Train Acc: 76.585 | Val Acc: 78.896
Epoch 76: | Train Loss: 0.651320 | Val Loss: 0.570609 | Train Acc: 76.634 | Val Acc: 81.992
Epoch 77: | Train Loss: 0.651174 | Val Loss: 0.569545 | Train Acc: 76.479 | Val Acc: 78.787
Epoch 78: | Train Loss: 0.650549 | Val Loss: 0.573950 | Train Acc: 76.605 | Val Acc: 78.813
Epoch 79: | Train Loss: 0.650725 | Val Loss: 0.569974 | Train Acc: 76.553 | Val Acc: 78.854
Epoch 80: | Train Loss: 0.651329 | Val Loss: 0.565279 | Train Acc: 76.869 | Val Acc: 78.941
Epoch 81: | Train Loss: 0.651317 | Val Loss: 0.563701 | Train Acc: 76.774 | Val Acc: 80.548
Epoch 82: | Train Loss: 0.651061 | Val Loss: 0.563789 | Train Acc: 76.525 | Val Acc: 80.552
Epoch 83: | Train Loss: 0.650818 | Val Loss: 0.568936 | Train Acc: 76.842 | Val Acc: 78.805
Epoch 84: | Train Loss: 0.650986 | Val Loss: 0.563960 | Train Acc: 76.524 | Val Acc: 80.551
Epoch 85: | Train Loss: 0.650460 | Val Loss: 0.562939 | Train Acc: 76.811 | Val Acc: 80.564
Epoch 86: | Train Loss: 0.650594 | Val Loss: 0.561826 | Train Acc: 76.877 | Val Acc: 79.482
Epoch 87: | Train Loss: 0.651035 | Val Loss: 0.564959 | Train Acc: 76.933 | Val Acc: 78.988
Epoch 88: | Train Loss: 0.650594 | Val Loss: 0.562736 | Train Acc: 76.660 | Val Acc: 80.643
Epoch 89: | Train Loss: 0.650088 | Val Loss: 0.560025 | Train Acc: 76.770 | Val Acc: 80.556
Epoch 90: | Train Loss: 0.650786 | Val Loss: 0.559763 | Train Acc: 76.861 | Val Acc: 80.525
Epoch 91: | Train Loss: 0.650339 | Val Loss: 0.559991 | Train Acc: 76.662 | Val Acc: 81.992
Epoch 92: | Train Loss: 0.650525 | Val Loss: 0.564598 | Train Acc: 76.685 | Val Acc: 79.991
Epoch 93: | Train Loss: 0.649936 | Val Loss: 0.560090 | Train Acc: 76.659 | Val Acc: 80.529
Epoch 94: | Train Loss: 0.649789 | Val Loss: 0.562195 | Train Acc: 77.101 | Val Acc: 80.519
Epoch 95: | Train Loss: 0.649949 | Val Loss: 0.561107 | Train Acc: 76.999 | Val Acc: 80.520
Epoch 96: | Train Loss: 0.649627 | Val Loss: 0.561431 | Train Acc: 76.859 | Val Acc: 80.523
Epoch 97: | Train Loss: 0.649989 | Val Loss: 0.568278 | Train Acc: 76.723 | Val Acc: 78.893
Epoch 98: | Train Loss: 0.650151 | Val Loss: 0.580899 | Train Acc: 76.961 | Val Acc: 78.900
Epoch 99: | Train Loss: 0.649067 | Val Loss: 0.560748 | Train Acc: 76.861 | Val Acc: 80.551
Levenshtein Acc: 0.5208410475394168


 sa cabau
