torch.Size([130001, 176, 37])
aplicado mamba


Epoch 0: | Train Loss: 5.067532 | Val Loss: 5.247512 | Train Acc: 77.468 | Val Acc: 76.618
Epoch 1: | Train Loss: 5.042635 | Val Loss: 5.236991 | Train Acc: 77.460 | Val Acc: 76.618
Epoch 2: | Train Loss: 5.035293 | Val Loss: 5.234427 | Train Acc: 77.460 | Val Acc: 76.618
Epoch 3: | Train Loss: 5.031347 | Val Loss: 5.228851 | Train Acc: 77.460 | Val Acc: 76.617
Epoch 4: | Train Loss: 5.028954 | Val Loss: 5.231337 | Train Acc: 77.460 | Val Acc: 76.618
Epoch 5: | Train Loss: 5.026328 | Val Loss: 5.229591 | Train Acc: 77.458 | Val Acc: 76.619
Epoch 6: | Train Loss: 5.020215 | Val Loss: 5.226220 | Train Acc: 77.463 | Val Acc: 76.618
Epoch 7: | Train Loss: 5.019145 | Val Loss: 5.219540 | Train Acc: 77.458 | Val Acc: 76.618
Epoch 8: | Train Loss: 5.016518 | Val Loss: 5.223241 | Train Acc: 77.461 | Val Acc: 76.618
Epoch 9: | Train Loss: 5.015519 | Val Loss: 5.216708 | Train Acc: 77.461 | Val Acc: 76.617
Epoch 10: | Train Loss: 5.014091 | Val Loss: 5.215028 | Train Acc: 77.463 | Val Acc: 76.618
Epoch 11: | Train Loss: 5.013038 | Val Loss: 5.218422 | Train Acc: 77.461 | Val Acc: 76.618
Epoch 12: | Train Loss: 5.012124 | Val Loss: 5.213355 | Train Acc: 77.462 | Val Acc: 76.618
Epoch 13: | Train Loss: 5.012255 | Val Loss: 5.216052 | Train Acc: 77.460 | Val Acc: 76.618
Epoch 14: | Train Loss: 5.010989 | Val Loss: 5.214534 | Train Acc: 77.461 | Val Acc: 76.618
Epoch 15: | Train Loss: 5.010298 | Val Loss: 5.211803 | Train Acc: 77.461 | Val Acc: 76.618
Epoch 16: | Train Loss: 5.009923 | Val Loss: 5.213366 | Train Acc: 77.461 | Val Acc: 76.618
Epoch 17: | Train Loss: 5.010232 | Val Loss: 5.218986 | Train Acc: 77.456 | Val Acc: 76.618
Epoch 18: | Train Loss: 5.008386 | Val Loss: 5.209638 | Train Acc: 77.460 | Val Acc: 76.619
Epoch 19: | Train Loss: 5.007913 | Val Loss: 5.220511 | Train Acc: 77.461 | Val Acc: 76.618
Epoch 20: | Train Loss: 5.007819 | Val Loss: 5.232404 | Train Acc: 77.459 | Val Acc: 76.618
Epoch 21: | Train Loss: 5.007070 | Val Loss: 5.209414 | Train Acc: 77.460 | Val Acc: 76.618
Epoch 22: | Train Loss: 5.006324 | Val Loss: 5.212928 | Train Acc: 77.461 | Val Acc: 76.618
Epoch 23: | Train Loss: 5.005682 | Val Loss: 5.215669 | Train Acc: 77.460 | Val Acc: 76.618
Epoch 24: | Train Loss: 5.004741 | Val Loss: 5.210588 | Train Acc: 77.461 | Val Acc: 76.618
Epoch 25: | Train Loss: 5.004667 | Val Loss: 5.220444 | Train Acc: 77.460 | Val Acc: 76.619
Epoch 26: | Train Loss: 5.003594 | Val Loss: 5.210710 | Train Acc: 77.461 | Val Acc: 76.617
Epoch 27: | Train Loss: 5.003905 | Val Loss: 5.221570 | Train Acc: 77.460 | Val Acc: 76.619
Epoch 28: | Train Loss: 5.002994 | Val Loss: 5.224286 | Train Acc: 77.461 | Val Acc: 76.618
Epoch 29: | Train Loss: 5.002514 | Val Loss: 5.207074 | Train Acc: 77.461 | Val Acc: 76.618
Epoch 30: | Train Loss: 5.001780 | Val Loss: 5.226009 | Train Acc: 77.460 | Val Acc: 76.617
Epoch 31: | Train Loss: 5.001459 | Val Loss: 5.223269 | Train Acc: 77.462 | Val Acc: 76.618
Epoch 32: | Train Loss: 5.001798 | Val Loss: 5.206002 | Train Acc: 77.456 | Val Acc: 76.617
Epoch 33: | Train Loss: 5.000889 | Val Loss: 5.219234 | Train Acc: 77.460 | Val Acc: 76.619
Epoch 34: | Train Loss: 5.000404 | Val Loss: 5.209159 | Train Acc: 77.460 | Val Acc: 76.618
Epoch 35: | Train Loss: 5.000062 | Val Loss: 5.211896 | Train Acc: 77.460 | Val Acc: 76.617
Epoch 36: | Train Loss: 4.999968 | Val Loss: 5.207407 | Train Acc: 77.458 | Val Acc: 76.618
Epoch 37: | Train Loss: 4.998828 | Val Loss: 5.207811 | Train Acc: 77.462 | Val Acc: 76.618
Epoch 38: | Train Loss: 4.999341 | Val Loss: 5.211479 | Train Acc: 77.459 | Val Acc: 76.618
Epoch 39: | Train Loss: 4.998497 | Val Loss: 5.205759 | Train Acc: 77.461 | Val Acc: 76.618
Epoch 40: | Train Loss: 4.998779 | Val Loss: 5.210683 | Train Acc: 77.460 | Val Acc: 76.617
Epoch 41: | Train Loss: 4.998965 | Val Loss: 5.206456 | Train Acc: 77.459 | Val Acc: 76.619
Epoch 42: | Train Loss: 4.997808 | Val Loss: 5.210726 | Train Acc: 77.461 | Val Acc: 76.618
Epoch 43: | Train Loss: 4.997932 | Val Loss: 5.210900 | Train Acc: 77.459 | Val Acc: 76.619
