torch.Size([13791, 16, 15])
aplicado mamba


Epoch 0: | Train Loss: 0.833492 | Val Loss: 0.685801 | Train Acc: 75.223 | Val Acc: 78.716
Epoch 1: | Train Loss: 0.777665 | Val Loss: 0.661462 | Train Acc: 75.331 | Val Acc: 78.717
Epoch 2: | Train Loss: 0.747073 | Val Loss: 0.646407 | Train Acc: 75.343 | Val Acc: 78.715
Epoch 3: | Train Loss: 0.733160 | Val Loss: 0.623139 | Train Acc: 75.337 | Val Acc: 78.716
Epoch 4: | Train Loss: 0.722710 | Val Loss: 0.609812 | Train Acc: 75.337 | Val Acc: 78.714
Epoch 5: | Train Loss: 0.715193 | Val Loss: 0.611145 | Train Acc: 75.320 | Val Acc: 78.721
Epoch 6: | Train Loss: 0.708443 | Val Loss: 0.616200 | Train Acc: 75.343 | Val Acc: 78.719
Epoch 7: | Train Loss: 0.702760 | Val Loss: 0.595116 | Train Acc: 75.349 | Val Acc: 78.713
Epoch 8: | Train Loss: 0.699043 | Val Loss: 0.590689 | Train Acc: 75.331 | Val Acc: 78.713
Epoch 9: | Train Loss: 0.695214 | Val Loss: 0.611728 | Train Acc: 75.343 | Val Acc: 78.714
Epoch 10: | Train Loss: 0.693460 | Val Loss: 0.673933 | Train Acc: 75.320 | Val Acc: 78.717
Epoch 11: | Train Loss: 0.693689 | Val Loss: 0.589009 | Train Acc: 75.343 | Val Acc: 78.717
Epoch 12: | Train Loss: 0.688010 | Val Loss: 0.590611 | Train Acc: 75.343 | Val Acc: 78.719
Epoch 13: | Train Loss: 0.686547 | Val Loss: 0.587510 | Train Acc: 75.343 | Val Acc: 78.716
Epoch 14: | Train Loss: 0.684384 | Val Loss: 0.588115 | Train Acc: 75.345 | Val Acc: 78.720
Epoch 15: | Train Loss: 0.683729 | Val Loss: 0.594214 | Train Acc: 75.336 | Val Acc: 78.719
Epoch 16: | Train Loss: 0.683779 | Val Loss: 0.592324 | Train Acc: 75.360 | Val Acc: 78.719
Epoch 17: | Train Loss: 0.682064 | Val Loss: 0.592461 | Train Acc: 75.358 | Val Acc: 78.718
Epoch 18: | Train Loss: 0.681276 | Val Loss: 0.618840 | Train Acc: 75.366 | Val Acc: 78.720
Epoch 19: | Train Loss: 0.679581 | Val Loss: 0.607196 | Train Acc: 75.476 | Val Acc: 78.721
Epoch 20: | Train Loss: 0.679504 | Val Loss: 0.588868 | Train Acc: 75.451 | Val Acc: 78.744
Epoch 21: | Train Loss: 0.677919 | Val Loss: 0.591663 | Train Acc: 75.463 | Val Acc: 78.740
Epoch 22: | Train Loss: 0.679246 | Val Loss: 0.602102 | Train Acc: 75.455 | Val Acc: 78.740
Epoch 23: | Train Loss: 0.677400 | Val Loss: 0.592882 | Train Acc: 75.441 | Val Acc: 78.745
Epoch 24: | Train Loss: 0.678204 | Val Loss: 0.753423 | Train Acc: 75.449 | Val Acc: 78.719
Epoch 25: | Train Loss: 0.679075 | Val Loss: 0.587968 | Train Acc: 75.491 | Val Acc: 78.744
Epoch 26: | Train Loss: 0.674986 | Val Loss: 0.581174 | Train Acc: 75.516 | Val Acc: 78.762
Epoch 27: | Train Loss: 0.675172 | Val Loss: 0.585658 | Train Acc: 75.517 | Val Acc: 78.746
Epoch 28: | Train Loss: 0.674437 | Val Loss: 0.583957 | Train Acc: 75.508 | Val Acc: 78.760
Epoch 29: | Train Loss: 0.674567 | Val Loss: 0.586631 | Train Acc: 75.523 | Val Acc: 78.742
Epoch 30: | Train Loss: 0.673172 | Val Loss: 0.578577 | Train Acc: 75.619 | Val Acc: 78.823
Epoch 31: | Train Loss: 0.672967 | Val Loss: 0.583698 | Train Acc: 75.738 | Val Acc: 78.790
Epoch 32: | Train Loss: 0.671899 | Val Loss: 0.586674 | Train Acc: 75.625 | Val Acc: 78.763
Epoch 33: | Train Loss: 0.671755 | Val Loss: 0.581099 | Train Acc: 75.668 | Val Acc: 80.475
Epoch 34: | Train Loss: 0.671400 | Val Loss: 0.588802 | Train Acc: 76.013 | Val Acc: 78.829
Epoch 35: | Train Loss: 0.671151 | Val Loss: 0.580726 | Train Acc: 75.852 | Val Acc: 78.840
Epoch 36: | Train Loss: 0.670809 | Val Loss: 0.577716 | Train Acc: 75.850 | Val Acc: 78.830
Epoch 37: | Train Loss: 0.669101 | Val Loss: 0.579468 | Train Acc: 75.836 | Val Acc: 78.833
Epoch 38: | Train Loss: 0.669280 | Val Loss: 0.582836 | Train Acc: 75.786 | Val Acc: 78.831
Epoch 39: | Train Loss: 0.672429 | Val Loss: 0.598435 | Train Acc: 75.708 | Val Acc: 78.792
Epoch 40: | Train Loss: 0.670636 | Val Loss: 0.579403 | Train Acc: 75.752 | Val Acc: 78.842
Epoch 41: | Train Loss: 0.668524 | Val Loss: 0.583385 | Train Acc: 75.812 | Val Acc: 78.803
Epoch 42: | Train Loss: 0.667812 | Val Loss: 0.577819 | Train Acc: 75.768 | Val Acc: 78.809
Epoch 43: | Train Loss: 0.667155 | Val Loss: 0.577549 | Train Acc: 75.720 | Val Acc: 78.798
Epoch 44: | Train Loss: 0.668354 | Val Loss: 0.584693 | Train Acc: 75.635 | Val Acc: 78.787
Epoch 45: | Train Loss: 0.666213 | Val Loss: 0.579891 | Train Acc: 75.827 | Val Acc: 79.166
Epoch 46: | Train Loss: 0.666202 | Val Loss: 0.573618 | Train Acc: 75.862 | Val Acc: 79.155
Epoch 47: | Train Loss: 0.667594 | Val Loss: 0.588526 | Train Acc: 75.888 | Val Acc: 78.786
Epoch 48: | Train Loss: 0.666360 | Val Loss: 0.583333 | Train Acc: 75.913 | Val Acc: 78.798
Epoch 49: | Train Loss: 0.666345 | Val Loss: 0.580265 | Train Acc: 75.896 | Val Acc: 78.790
Epoch 50: | Train Loss: 0.665367 | Val Loss: 0.573729 | Train Acc: 75.867 | Val Acc: 78.795
Epoch 51: | Train Loss: 0.664663 | Val Loss: 0.572207 | Train Acc: 75.716 | Val Acc: 78.787
Epoch 52: | Train Loss: 0.665118 | Val Loss: 0.586637 | Train Acc: 75.628 | Val Acc: 78.787
Epoch 53: | Train Loss: 0.664347 | Val Loss: 0.582082 | Train Acc: 75.657 | Val Acc: 78.785
Epoch 54: | Train Loss: 0.663992 | Val Loss: 0.575931 | Train Acc: 76.360 | Val Acc: 78.804
