torch.Size([4684, 36, 8])
aplicado mamba


Epoch 0: | Train Loss: 3.212030 | Val Loss: 2.477550 | Train Acc: 82.383 | Val Acc: 85.586
Epoch 1: | Train Loss: 2.901741 | Val Loss: 2.435461 | Train Acc: 82.573 | Val Acc: 85.594
Epoch 2: | Train Loss: 2.872286 | Val Loss: 2.423019 | Train Acc: 82.569 | Val Acc: 85.591
Epoch 3: | Train Loss: 2.863768 | Val Loss: 2.419608 | Train Acc: 82.560 | Val Acc: 85.579
Epoch 4: | Train Loss: 2.858940 | Val Loss: 2.414353 | Train Acc: 82.561 | Val Acc: 85.584
Epoch 5: | Train Loss: 2.853757 | Val Loss: 2.424284 | Train Acc: 82.571 | Val Acc: 85.532
Epoch 6: | Train Loss: 2.852534 | Val Loss: 2.409467 | Train Acc: 82.566 | Val Acc: 85.583
Epoch 7: | Train Loss: 2.849688 | Val Loss: 2.415750 | Train Acc: 82.569 | Val Acc: 85.557
Epoch 8: | Train Loss: 2.848090 | Val Loss: 2.406990 | Train Acc: 82.566 | Val Acc: 85.579
Epoch 9: | Train Loss: 2.845861 | Val Loss: 2.409126 | Train Acc: 82.572 | Val Acc: 85.579
Epoch 10: | Train Loss: 2.844735 | Val Loss: 2.408313 | Train Acc: 82.567 | Val Acc: 85.601
Epoch 11: | Train Loss: 2.842380 | Val Loss: 2.412032 | Train Acc: 82.571 | Val Acc: 85.542
Epoch 12: | Train Loss: 2.837965 | Val Loss: 2.402798 | Train Acc: 82.573 | Val Acc: 85.591
Epoch 13: | Train Loss: 2.836534 | Val Loss: 2.413304 | Train Acc: 82.569 | Val Acc: 85.557
Epoch 14: | Train Loss: 2.834817 | Val Loss: 2.397813 | Train Acc: 82.572 | Val Acc: 85.608
Epoch 15: | Train Loss: 2.832631 | Val Loss: 2.401225 | Train Acc: 82.569 | Val Acc: 85.590
Epoch 16: | Train Loss: 2.829836 | Val Loss: 2.403093 | Train Acc: 82.571 | Val Acc: 85.582
Epoch 17: | Train Loss: 2.828278 | Val Loss: 2.401010 | Train Acc: 82.575 | Val Acc: 85.616
Epoch 18: | Train Loss: 2.826857 | Val Loss: 2.413200 | Train Acc: 82.570 | Val Acc: 85.594
Epoch 19: | Train Loss: 2.825295 | Val Loss: 2.397011 | Train Acc: 82.573 | Val Acc: 85.597
Epoch 20: | Train Loss: 2.824559 | Val Loss: 2.406954 | Train Acc: 82.572 | Val Acc: 85.569
Epoch 21: | Train Loss: 2.822194 | Val Loss: 2.397079 | Train Acc: 82.574 | Val Acc: 85.607
Epoch 22: | Train Loss: 2.822244 | Val Loss: 2.397978 | Train Acc: 82.572 | Val Acc: 85.578
Epoch 23: | Train Loss: 2.821606 | Val Loss: 2.399820 | Train Acc: 82.568 | Val Acc: 85.605
Epoch 24: | Train Loss: 2.823439 | Val Loss: 2.404728 | Train Acc: 82.572 | Val Acc: 85.579
Epoch 25: | Train Loss: 2.820406 | Val Loss: 2.398359 | Train Acc: 82.571 | Val Acc: 85.583
