torch.Size([49225, 124, 14])
aplicado mamba


Epoch 0: | Train Loss: 5.357430 | Val Loss: 2.848486 | Train Acc: 89.777 | Val Acc: 94.542
Epoch 1: | Train Loss: 5.302968 | Val Loss: 2.841210 | Train Acc: 89.766 | Val Acc: 94.542
Epoch 2: | Train Loss: 5.297972 | Val Loss: 2.845707 | Train Acc: 89.766 | Val Acc: 94.541
Epoch 3: | Train Loss: 5.294841 | Val Loss: 2.846490 | Train Acc: 89.766 | Val Acc: 94.541
Epoch 4: | Train Loss: 5.290949 | Val Loss: 2.844449 | Train Acc: 89.766 | Val Acc: 94.542
Epoch 5: | Train Loss: 5.289266 | Val Loss: 2.838679 | Train Acc: 89.766 | Val Acc: 94.541
Epoch 6: | Train Loss: 5.288100 | Val Loss: 2.834980 | Train Acc: 89.764 | Val Acc: 94.542
Epoch 7: | Train Loss: 5.285299 | Val Loss: 2.829867 | Train Acc: 89.766 | Val Acc: 94.542
Epoch 8: | Train Loss: 5.283449 | Val Loss: 2.843669 | Train Acc: 89.767 | Val Acc: 94.541
Epoch 9: | Train Loss: 5.281432 | Val Loss: 2.833791 | Train Acc: 89.768 | Val Acc: 94.542
Epoch 10: | Train Loss: 5.279897 | Val Loss: 2.832785 | Train Acc: 89.770 | Val Acc: 94.542
Epoch 11: | Train Loss: 5.278943 | Val Loss: 2.861360 | Train Acc: 89.767 | Val Acc: 94.542
Epoch 12: | Train Loss: 5.277385 | Val Loss: 2.835246 | Train Acc: 89.767 | Val Acc: 94.542
Epoch 13: | Train Loss: 5.276927 | Val Loss: 2.830871 | Train Acc: 89.766 | Val Acc: 94.542
Epoch 14: | Train Loss: 5.274798 | Val Loss: 2.831384 | Train Acc: 89.766 | Val Acc: 94.542
Epoch 15: | Train Loss: 5.272844 | Val Loss: 2.825663 | Train Acc: 89.767 | Val Acc: 94.541
Epoch 16: | Train Loss: 5.272288 | Val Loss: 2.823144 | Train Acc: 89.767 | Val Acc: 94.542
Epoch 17: | Train Loss: 5.271250 | Val Loss: 2.842285 | Train Acc: 89.766 | Val Acc: 94.542
Epoch 18: | Train Loss: 5.270927 | Val Loss: 2.838539 | Train Acc: 89.766 | Val Acc: 94.541
Epoch 19: | Train Loss: 5.269455 | Val Loss: 2.831907 | Train Acc: 89.767 | Val Acc: 94.541
Epoch 20: | Train Loss: 5.268481 | Val Loss: 2.841581 | Train Acc: 89.767 | Val Acc: 94.541
Epoch 21: | Train Loss: 5.267678 | Val Loss: 2.844210 | Train Acc: 89.766 | Val Acc: 94.541
Epoch 22: | Train Loss: 5.267413 | Val Loss: 2.825755 | Train Acc: 89.766 | Val Acc: 94.542
Epoch 23: | Train Loss: 5.266737 | Val Loss: 2.827608 | Train Acc: 89.766 | Val Acc: 94.542
Epoch 24: | Train Loss: 5.266038 | Val Loss: 2.826111 | Train Acc: 89.766 | Val Acc: 94.541
Epoch 25: | Train Loss: 5.266867 | Val Loss: 2.842471 | Train Acc: 89.766 | Val Acc: 94.542
Epoch 26: | Train Loss: 5.266227 | Val Loss: 2.836392 | Train Acc: 89.766 | Val Acc: 94.542
Epoch 27: | Train Loss: 5.266000 | Val Loss: 2.822232 | Train Acc: 89.767 | Val Acc: 94.542
Epoch 28: | Train Loss: 5.265728 | Val Loss: 2.829585 | Train Acc: 89.766 | Val Acc: 94.542
Epoch 29: | Train Loss: 5.265510 | Val Loss: 2.831006 | Train Acc: 89.766 | Val Acc: 94.541
Epoch 30: | Train Loss: 5.265393 | Val Loss: 2.826171 | Train Acc: 89.765 | Val Acc: 94.542
Epoch 31: | Train Loss: 5.264714 | Val Loss: 2.828254 | Train Acc: 89.767 | Val Acc: 94.541
Epoch 32: | Train Loss: 5.264999 | Val Loss: 2.828108 | Train Acc: 89.765 | Val Acc: 94.542
Epoch 33: | Train Loss: 5.264416 | Val Loss: 2.826672 | Train Acc: 89.767 | Val Acc: 94.542
Epoch 34: | Train Loss: 5.264044 | Val Loss: 2.829241 | Train Acc: 89.766 | Val Acc: 94.542
Epoch 35: | Train Loss: 5.264935 | Val Loss: 2.827116 | Train Acc: 89.765 | Val Acc: 94.542
Epoch 36: | Train Loss: 5.264144 | Val Loss: 2.834988 | Train Acc: 89.766 | Val Acc: 94.541
Epoch 37: | Train Loss: 5.263324 | Val Loss: 2.825335 | Train Acc: 89.766 | Val Acc: 94.542
Epoch 38: | Train Loss: 5.262871 | Val Loss: 2.847101 | Train Acc: 89.766 | Val Acc: 94.541
Epoch 39: | Train Loss: 5.263256 | Val Loss: 2.840176 | Train Acc: 89.765 | Val Acc: 94.541
Epoch 40: | Train Loss: 5.262460 | Val Loss: 2.815604 | Train Acc: 89.766 | Val Acc: 94.542
Epoch 41: | Train Loss: 5.263045 | Val Loss: 2.821343 | Train Acc: 89.765 | Val Acc: 94.541
Epoch 42: | Train Loss: 5.262510 | Val Loss: 2.837957 | Train Acc: 89.766 | Val Acc: 94.541
Epoch 43: | Train Loss: 5.261788 | Val Loss: 2.824880 | Train Acc: 89.767 | Val Acc: 94.542
Epoch 44: | Train Loss: 5.261937 | Val Loss: 2.822485 | Train Acc: 89.766 | Val Acc: 94.542
Epoch 45: | Train Loss: 5.261831 | Val Loss: 2.841070 | Train Acc: 89.766 | Val Acc: 94.542
Epoch 46: | Train Loss: 5.261870 | Val Loss: 2.823866 | Train Acc: 89.766 | Val Acc: 94.541
Epoch 47: | Train Loss: 5.262050 | Val Loss: 2.836125 | Train Acc: 89.765 | Val Acc: 94.542
Epoch 48: | Train Loss: 5.261367 | Val Loss: 2.819752 | Train Acc: 89.766 | Val Acc: 94.541
Epoch 49: | Train Loss: 5.260757 | Val Loss: 2.822798 | Train Acc: 89.767 | Val Acc: 94.542
Epoch 50: | Train Loss: 5.261588 | Val Loss: 2.832853 | Train Acc: 89.765 | Val Acc: 94.542
Epoch 51: | Train Loss: 5.261299 | Val Loss: 2.826742 | Train Acc: 89.766 | Val Acc: 94.541
Epoch 52: | Train Loss: 5.259747 | Val Loss: 2.824766 | Train Acc: 89.767 | Val Acc: 94.541
Epoch 53: | Train Loss: 5.260008 | Val Loss: 2.821486 | Train Acc: 89.766 | Val Acc: 94.542
Epoch 54: | Train Loss: 5.260179 | Val Loss: 2.837096 | Train Acc: 89.766 | Val Acc: 94.541
Epoch 55: | Train Loss: 5.259421 | Val Loss: 2.824297 | Train Acc: 89.766 | Val Acc: 94.541
Epoch 56: | Train Loss: 5.259996 | Val Loss: 2.831965 | Train Acc: 89.766 | Val Acc: 94.542
Epoch 57: | Train Loss: 5.260368 | Val Loss: 2.823423 | Train Acc: 89.766 | Val Acc: 94.541
Epoch 58: | Train Loss: 5.259198 | Val Loss: 2.834550 | Train Acc: 89.766 | Val Acc: 94.541
