PETA
NOPETA
torch.Size([9938, 186, 17])
aplicado mamba


Epoch 0: | Train Loss: 7.361346 | Val Loss: 4.824612 | Train Acc: 86.831 | Val Acc: 90.582
Epoch 1: | Train Loss: 7.137958 | Val Loss: 4.838358 | Train Acc: 86.677 | Val Acc: 90.473
Epoch 2: | Train Loss: 7.120295 | Val Loss: 4.844460 | Train Acc: 86.660 | Val Acc: 90.545
Epoch 3: | Train Loss: 7.098176 | Val Loss: 4.802273 | Train Acc: 86.676 | Val Acc: 90.517
Epoch 4: | Train Loss: 7.086490 | Val Loss: 4.842925 | Train Acc: 86.666 | Val Acc: 90.486
Epoch 5: | Train Loss: 7.073361 | Val Loss: 4.812420 | Train Acc: 86.656 | Val Acc: 90.528
Epoch 6: | Train Loss: 7.049569 | Val Loss: 4.787270 | Train Acc: 86.672 | Val Acc: 90.572
Epoch 7: | Train Loss: 7.043109 | Val Loss: 4.814174 | Train Acc: 86.670 | Val Acc: 90.497
Epoch 8: | Train Loss: 7.036969 | Val Loss: 4.778663 | Train Acc: 86.674 | Val Acc: 90.548
Epoch 9: | Train Loss: 7.047181 | Val Loss: 4.802594 | Train Acc: 86.648 | Val Acc: 90.504
Epoch 10: | Train Loss: 7.037774 | Val Loss: 4.791457 | Train Acc: 86.656 | Val Acc: 90.569
Epoch 11: | Train Loss: 7.025933 | Val Loss: 4.826057 | Train Acc: 86.666 | Val Acc: 90.486
Epoch 12: | Train Loss: 7.022454 | Val Loss: 4.792201 | Train Acc: 86.670 | Val Acc: 90.538
Epoch 13: | Train Loss: 7.019459 | Val Loss: 4.755759 | Train Acc: 86.669 | Val Acc: 90.600
Epoch 14: | Train Loss: 7.015965 | Val Loss: 4.802046 | Train Acc: 86.668 | Val Acc: 90.528
Epoch 15: | Train Loss: 7.049867 | Val Loss: 4.799704 | Train Acc: 86.604 | Val Acc: 90.552
Epoch 16: | Train Loss: 7.021158 | Val Loss: 4.787876 | Train Acc: 86.657 | Val Acc: 90.565
Epoch 17: | Train Loss: 7.010694 | Val Loss: 4.760908 | Train Acc: 86.666 | Val Acc: 90.582
Epoch 18: | Train Loss: 7.010914 | Val Loss: 4.774543 | Train Acc: 86.669 | Val Acc: 90.565
Epoch 19: | Train Loss: 7.004838 | Val Loss: 4.823600 | Train Acc: 86.671 | Val Acc: 90.486
Epoch 20: | Train Loss: 7.006391 | Val Loss: 4.805570 | Train Acc: 86.671 | Val Acc: 90.486
Epoch 21: | Train Loss: 7.002078 | Val Loss: 4.774107 | Train Acc: 86.672 | Val Acc: 90.562
Epoch 22: | Train Loss: 7.003740 | Val Loss: 4.772874 | Train Acc: 86.669 | Val Acc: 90.565
Epoch 23: | Train Loss: 7.007141 | Val Loss: 4.773331 | Train Acc: 86.664 | Val Acc: 90.569
Epoch 24: | Train Loss: 7.009788 | Val Loss: 4.765500 | Train Acc: 86.657 | Val Acc: 90.569
Epoch 25: | Train Loss: 7.000241 | Val Loss: 4.778872 | Train Acc: 86.673 | Val Acc: 90.548
Epoch 26: | Train Loss: 7.008510 | Val Loss: 4.831503 | Train Acc: 86.654 | Val Acc: 90.456
Epoch 27: | Train Loss: 7.000235 | Val Loss: 4.790032 | Train Acc: 86.670 | Val Acc: 90.538
Epoch 28: | Train Loss: 6.999689 | Val Loss: 4.755791 | Train Acc: 86.670 | Val Acc: 90.593
Epoch 29: | Train Loss: 6.995535 | Val Loss: 4.761311 | Train Acc: 86.671 | Val Acc: 90.582
Epoch 30: | Train Loss: 7.033352 | Val Loss: 4.793718 | Train Acc: 86.604 | Val Acc: 90.552
Epoch 31: | Train Loss: 6.992387 | Val Loss: 4.794545 | Train Acc: 86.676 | Val Acc: 90.534
Epoch 32: | Train Loss: 6.994279 | Val Loss: 4.793886 | Train Acc: 86.671 | Val Acc: 90.517
Epoch 33: | Train Loss: 6.994404 | Val Loss: 4.770659 | Train Acc: 86.669 | Val Acc: 90.572
Epoch 34: | Train Loss: 6.993505 | Val Loss: 4.766577 | Train Acc: 86.668 | Val Acc: 90.569
Epoch 35: | Train Loss: 6.993966 | Val Loss: 4.784199 | Train Acc: 86.668 | Val Acc: 90.558
Epoch 36: | Train Loss: 6.992158 | Val Loss: 4.772726 | Train Acc: 86.666 | Val Acc: 90.562
Epoch 37: | Train Loss: 6.990724 | Val Loss: 4.784443 | Train Acc: 86.670 | Val Acc: 90.538
Epoch 38: | Train Loss: 6.991286 | Val Loss: 4.778703 | Train Acc: 86.668 | Val Acc: 90.555
Epoch 39: | Train Loss: 6.987280 | Val Loss: 4.769643 | Train Acc: 86.673 | Val Acc: 90.548
Epoch 40: | Train Loss: 6.987401 | Val Loss: 4.773699 | Train Acc: 86.670 | Val Acc: 90.548
Epoch 41: | Train Loss: 6.987458 | Val Loss: 4.867552 | Train Acc: 86.674 | Val Acc: 90.384
Epoch 42: | Train Loss: 6.986432 | Val Loss: 4.763112 | Train Acc: 86.674 | Val Acc: 90.576
Epoch 43: | Train Loss: 6.989738 | Val Loss: 4.776014 | Train Acc: 86.667 | Val Acc: 90.555
Early stopping
Levenshtein Acc: 0.22227593935133644


 sa cabau
