torch.Size([5626, 26, 28])
aplicado mamba


Epoch 0: | Train Loss: 0.759285 | Val Loss: 0.661102 | Train Acc: 76.918 | Val Acc: 78.103
Epoch 1: | Train Loss: 0.691888 | Val Loss: 0.659951 | Train Acc: 77.149 | Val Acc: 78.103
Epoch 2: | Train Loss: 0.686666 | Val Loss: 0.653455 | Train Acc: 77.147 | Val Acc: 78.103
Epoch 3: | Train Loss: 0.683284 | Val Loss: 0.656804 | Train Acc: 77.146 | Val Acc: 78.103
Epoch 4: | Train Loss: 0.681098 | Val Loss: 0.654135 | Train Acc: 77.144 | Val Acc: 78.103
Epoch 5: | Train Loss: 0.679164 | Val Loss: 0.650384 | Train Acc: 77.153 | Val Acc: 78.161
Epoch 6: | Train Loss: 0.677036 | Val Loss: 0.650485 | Train Acc: 77.148 | Val Acc: 78.103
Epoch 7: | Train Loss: 0.674752 | Val Loss: 0.654691 | Train Acc: 77.152 | Val Acc: 78.103
Epoch 8: | Train Loss: 0.672811 | Val Loss: 0.651564 | Train Acc: 77.148 | Val Acc: 78.024
Epoch 9: | Train Loss: 0.671025 | Val Loss: 0.652062 | Train Acc: 77.148 | Val Acc: 78.024
Epoch 10: | Train Loss: 0.669202 | Val Loss: 0.648377 | Train Acc: 77.153 | Val Acc: 78.103
Epoch 11: | Train Loss: 0.668094 | Val Loss: 0.647524 | Train Acc: 77.148 | Val Acc: 78.103
Epoch 12: | Train Loss: 0.666886 | Val Loss: 0.650784 | Train Acc: 77.150 | Val Acc: 78.024
Epoch 13: | Train Loss: 0.665776 | Val Loss: 0.651018 | Train Acc: 77.151 | Val Acc: 78.103
Epoch 14: | Train Loss: 0.664616 | Val Loss: 0.651684 | Train Acc: 77.141 | Val Acc: 78.122
Epoch 15: | Train Loss: 0.662813 | Val Loss: 0.652973 | Train Acc: 77.150 | Val Acc: 78.024
Epoch 16: | Train Loss: 0.661851 | Val Loss: 0.647150 | Train Acc: 77.151 | Val Acc: 78.103
Epoch 17: | Train Loss: 0.661238 | Val Loss: 0.650859 | Train Acc: 77.150 | Val Acc: 78.024
Epoch 18: | Train Loss: 0.660314 | Val Loss: 0.651077 | Train Acc: 77.152 | Val Acc: 78.024
Epoch 19: | Train Loss: 0.659000 | Val Loss: 0.654131 | Train Acc: 77.152 | Val Acc: 78.103
Epoch 20: | Train Loss: 0.658591 | Val Loss: 0.652770 | Train Acc: 77.151 | Val Acc: 78.103
Epoch 21: | Train Loss: 0.657711 | Val Loss: 0.652470 | Train Acc: 77.149 | Val Acc: 78.024
Epoch 22: | Train Loss: 0.657143 | Val Loss: 0.654790 | Train Acc: 77.155 | Val Acc: 78.105
Epoch 23: | Train Loss: 0.656215 | Val Loss: 0.655712 | Train Acc: 77.150 | Val Acc: 78.114
Epoch 24: | Train Loss: 0.656236 | Val Loss: 0.657364 | Train Acc: 77.149 | Val Acc: 78.036
Epoch 25: | Train Loss: 0.655293 | Val Loss: 0.650453 | Train Acc: 77.154 | Val Acc: 78.125
Epoch 26: | Train Loss: 0.655299 | Val Loss: 0.655500 | Train Acc: 77.154 | Val Acc: 78.114
Epoch 27: | Train Loss: 0.654604 | Val Loss: 0.652443 | Train Acc: 77.158 | Val Acc: 78.111
Epoch 28: | Train Loss: 0.654383 | Val Loss: 0.649713 | Train Acc: 77.149 | Val Acc: 78.103
Epoch 29: | Train Loss: 0.653820 | Val Loss: 0.651562 | Train Acc: 77.153 | Val Acc: 78.111
Epoch 30: | Train Loss: 0.653450 | Val Loss: 0.685856 | Train Acc: 77.159 | Val Acc: 77.762
Epoch 31: | Train Loss: 0.653404 | Val Loss: 0.677187 | Train Acc: 77.157 | Val Acc: 77.736
Epoch 32: | Train Loss: 0.652689 | Val Loss: 0.666756 | Train Acc: 77.149 | Val Acc: 77.731
Epoch 33: | Train Loss: 0.652525 | Val Loss: 0.656040 | Train Acc: 77.153 | Val Acc: 78.111
Epoch 34: | Train Loss: 0.651397 | Val Loss: 0.656041 | Train Acc: 77.161 | Val Acc: 78.105
Epoch 35: | Train Loss: 0.651386 | Val Loss: 0.652746 | Train Acc: 77.149 | Val Acc: 78.108
Epoch 36: | Train Loss: 0.650938 | Val Loss: 0.655744 | Train Acc: 77.158 | Val Acc: 78.030
Epoch 37: | Train Loss: 0.650740 | Val Loss: 0.651558 | Train Acc: 77.155 | Val Acc: 78.128
Epoch 38: | Train Loss: 0.650328 | Val Loss: 0.658819 | Train Acc: 77.155 | Val Acc: 78.111
Epoch 39: | Train Loss: 0.649838 | Val Loss: 0.652918 | Train Acc: 77.157 | Val Acc: 78.108
Epoch 40: | Train Loss: 0.649703 | Val Loss: 0.656741 | Train Acc: 77.157 | Val Acc: 78.108
Epoch 41: | Train Loss: 0.649848 | Val Loss: 0.649212 | Train Acc: 77.152 | Val Acc: 78.103
Epoch 42: | Train Loss: 0.648982 | Val Loss: 0.650008 | Train Acc: 77.158 | Val Acc: 78.105
Epoch 43: | Train Loss: 0.648306 | Val Loss: 0.680530 | Train Acc: 77.155 | Val Acc: 77.734
Epoch 44: | Train Loss: 0.648577 | Val Loss: 0.654583 | Train Acc: 77.151 | Val Acc: 78.108
Epoch 45: | Train Loss: 0.647397 | Val Loss: 0.655644 | Train Acc: 77.148 | Val Acc: 78.105
Epoch 46: | Train Loss: 0.647697 | Val Loss: 0.659415 | Train Acc: 77.140 | Val Acc: 78.105
Early stopping
Levenshtein Acc: 0.41475193452380965


 sa cabau
