torch.Size([4684, 36, 9])
MODELO PASADO

Epoch 0: | Train Loss: 686.870958 | Val Loss: 108.627447 | Train Acc: 4.769 | Val Acc: 5.030
Epoch 1: | Train Loss: 440.692037 | Val Loss: 877.919246 | Train Acc: 6.165 | Val Acc: 3.158
Epoch 2: | Train Loss: 209.619739 | Val Loss: 14.213108 | Train Acc: 4.387 | Val Acc: 4.224
Epoch 3: | Train Loss: 97.432973 | Val Loss: 62.354017 | Train Acc: 7.833 | Val Acc: 3.638
Epoch 4: | Train Loss: 71.308168 | Val Loss: 250.594681 | Train Acc: 5.661 | Val Acc: 27.787
Epoch 5: | Train Loss: 354.242016 | Val Loss: 146.499248 | Train Acc: 7.363 | Val Acc: 2.741
Epoch 6: | Train Loss: 738.076832 | Val Loss: 326.263678 | Train Acc: 4.447 | Val Acc: 3.015
Epoch 7: | Train Loss: 365.907829 | Val Loss: 44.043356 | Train Acc: 5.850 | Val Acc: 3.034
Epoch 8: | Train Loss: 28.498387 | Val Loss: 20.086933 | Train Acc: 4.344 | Val Acc: 3.187
Epoch 9: | Train Loss: 9.987985 | Val Loss: 8.637861 | Train Acc: 3.570 | Val Acc: 19.824
Epoch 10: | Train Loss: 10.266461 | Val Loss: 3.701421 | Train Acc: 9.001 | Val Acc: 4.160
Epoch 11: | Train Loss: 3.446306 | Val Loss: 4.064981 | Train Acc: 4.591 | Val Acc: 3.710
Epoch 12: | Train Loss: 3.772452 | Val Loss: 6.816726 | Train Acc: 7.162 | Val Acc: 4.696
Epoch 13: | Train Loss: 5.286076 | Val Loss: 3.432672 | Train Acc: 5.445 | Val Acc: 4.138
Epoch 14: | Train Loss: 4.649104 | Val Loss: 2.556522 | Train Acc: 6.671 | Val Acc: 5.570
Epoch 15: | Train Loss: 2.485091 | Val Loss: 1.896008 | Train Acc: 5.622 | Val Acc: 5.258
Epoch 16: | Train Loss: 2.025273 | Val Loss: 1.703022 | Train Acc: 5.505 | Val Acc: 4.531
Epoch 17: | Train Loss: 1.991779 | Val Loss: 1.645660 | Train Acc: 4.850 | Val Acc: 3.605
Epoch 18: | Train Loss: 1.753820 | Val Loss: 1.642408 | Train Acc: 4.076 | Val Acc: 3.173
Epoch 19: | Train Loss: 1.763271 | Val Loss: 1.654443 | Train Acc: 5.311 | Val Acc: 3.356
Epoch 20: | Train Loss: 41.096399 | Val Loss: 144.492363 | Train Acc: 4.224 | Val Acc: 2.915
Epoch 21: | Train Loss: 37.195118 | Val Loss: 2.849493 | Train Acc: 10.657 | Val Acc: 2.983
