(16,)
[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 2.]



(16,)
[ 3.  4. 15.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]



1



torch.Size([13791, 16, 16])
MODELO PASADO
Epoch 0: | Train Loss: 36.483341 | Val Loss: 1.509938 | Train Acc: 7.889 | Val Acc: 7.446
Epoch 1: | Train Loss: 19.105661 | Val Loss: 1.458806 | Train Acc: 11.164 | Val Acc: 13.276
Epoch 2: | Train Loss: 6.346455 | Val Loss: 1.414791 | Train Acc: 9.370 | Val Acc: 9.006
Epoch 3: | Train Loss: 5.195399 | Val Loss: 1.471086 | Train Acc: 9.888 | Val Acc: 7.928
Epoch 4: | Train Loss: 4.121814 | Val Loss: 1.458704 | Train Acc: 10.472 | Val Acc: 13.803
Epoch 5: | Train Loss: 2.082151 | Val Loss: 1.458685 | Train Acc: 8.720 | Val Acc: 8.087
Epoch 6: | Train Loss: 1.997725 | Val Loss: 1.456424 | Train Acc: 8.192 | Val Acc: 9.178
Epoch 7: | Train Loss: 1.737404 | Val Loss: 1.455182 | Train Acc: 8.014 | Val Acc: 6.383
Epoch 8: | Train Loss: 1.536553 | Val Loss: 1.447670 | Train Acc: 6.648 | Val Acc: 6.315
Epoch 9: | Train Loss: 1.508129 | Val Loss: 1.423492 | Train Acc: 6.839 | Val Acc: 6.430
Epoch 10: | Train Loss: 1.491098 | Val Loss: 1.404178 | Train Acc: 6.760 | Val Acc: 6.240
Epoch 11: | Train Loss: 1.493073 | Val Loss: 1.402744 | Train Acc: 9.729 | Val Acc: 10.138
Epoch 12: | Train Loss: 1.485258 | Val Loss: 1.407723 | Train Acc: 13.415 | Val Acc: 12.232
Epoch 13: | Train Loss: 1.478955 | Val Loss: 1.379287 | Train Acc: 12.225 | Val Acc: 7.566
Epoch 14: | Train Loss: 1.478598 | Val Loss: 1.393572 | Train Acc: 11.695 | Val Acc: 11.753
Epoch 15: | Train Loss: 1.474850 | Val Loss: 1.392813 | Train Acc: 12.127 | Val Acc: 12.824
Epoch 16: | Train Loss: 1.473954 | Val Loss: 1.462412 | Train Acc: 13.108 | Val Acc: 12.576
Epoch 17: | Train Loss: 1.474146 | Val Loss: 1.384707 | Train Acc: 13.028 | Val Acc: 11.676
Epoch 18: | Train Loss: 1.476298 | Val Loss: 1.412902 | Train Acc: 10.030 | Val Acc: 9.951
Epoch 19: | Train Loss: 38.515259 | Val Loss: 1.487352 | Train Acc: 8.703 | Val Acc: 13.518
Epoch 20: | Train Loss: 9.690298 | Val Loss: 1.475099 | Train Acc: 8.625 | Val Acc: 6.250
Epoch 21: | Train Loss: 4.864554 | Val Loss: 1.472246 | Train Acc: 7.042 | Val Acc: 21.182
Epoch 22: | Train Loss: 1.768466 | Val Loss: 1.467793 | Train Acc: 12.005 | Val Acc: 10.993
Epoch 23: | Train Loss: 1.747579 | Val Loss: 1.456494 | Train Acc: 7.283 | Val Acc: 8.123
Epoch 24: | Train Loss: 1.548157 | Val Loss: 1.447800 | Train Acc: 7.173 | Val Acc: 6.258
Epoch 25: | Train Loss: 1.528176 | Val Loss: 1.453423 | Train Acc: 6.789 | Val Acc: 7.801
Epoch 26: | Train Loss: 1.510977 | Val Loss: 1.437500 | Train Acc: 7.227 | Val Acc: 6.605
Epoch 27: | Train Loss: 1.499075 | Val Loss: 1.416496 | Train Acc: 6.810 | Val Acc: 6.601
Epoch 28: | Train Loss: 1.488484 | Val Loss: 1.412122 | Train Acc: 6.659 | Val Acc: 6.290
Epoch 29: | Train Loss: 1.488736 | Val Loss: 1.407287 | Train Acc: 6.359 | Val Acc: 6.271
Epoch 30: | Train Loss: 1.477883 | Val Loss: 1.402452 | Train Acc: 6.705 | Val Acc: 7.734
Epoch 31: | Train Loss: 1.475520 | Val Loss: 1.399934 | Train Acc: 6.779 | Val Acc: 6.681
Epoch 32: | Train Loss: 1.473943 | Val Loss: 1.378855 | Train Acc: 6.919 | Val Acc: 6.971
Epoch 33: | Train Loss: 1.473764 | Val Loss: 1.402195 | Train Acc: 6.594 | Val Acc: 6.393
Epoch 34: | Train Loss: 1.471454 | Val Loss: 1.388875 | Train Acc: 6.817 | Val Acc: 6.611
Epoch 35: | Train Loss: 35.786375 | Val Loss: 1.446055 | Train Acc: 7.569 | Val Acc: 7.016
Epoch 36: | Train Loss: 84.840718 | Val Loss: 1.435589 | Train Acc: 8.575 | Val Acc: 7.749
