Epoch 0: | Train Loss: 2539.527645 | Val Loss: 943.825152 | Train Acc: 3.395 | Val Acc: 2.374
Epoch 1: | Train Loss: 6460.601770 | Val Loss: 211740.487144 | Train Acc: 3.297 | Val Acc: 1.342
Epoch 2: | Train Loss: 10397.814415 | Val Loss: 6586.508040 | Train Acc: 2.062 | Val Acc: 0.878
Epoch 3: | Train Loss: 3003.554309 | Val Loss: 562.640453 | Train Acc: 1.979 | Val Acc: 0.823
Epoch 4: | Train Loss: 2440.238882 | Val Loss: 4118.476477 | Train Acc: 2.250 | Val Acc: 1.194
Epoch 5: | Train Loss: 1227.695023 | Val Loss: 871.279457 | Train Acc: 2.403 | Val Acc: 1.360
Epoch 6: | Train Loss: 836.335187 | Val Loss: 51.424556 | Train Acc: 2.561 | Val Acc: 1.415
Epoch 7: | Train Loss: 1875.520072 | Val Loss: 101.641935 | Train Acc: 2.352 | Val Acc: 1.824
Epoch 8: | Train Loss: 1153.463979 | Val Loss: 6364.767019 | Train Acc: 2.402 | Val Acc: 1.534
Epoch 9: | Train Loss: 347.941009 | Val Loss: 41.920275 | Train Acc: 2.383 | Val Acc: 1.416
Epoch 10: | Train Loss: 346.948533 | Val Loss: 207.387890 | Train Acc: 2.402 | Val Acc: 1.323
Epoch 11: | Train Loss: 396.934482 | Val Loss: 20.107607 | Train Acc: 2.562 | Val Acc: 1.617
Epoch 12: | Train Loss: 1125.136337 | Val Loss: 3523.221711 | Train Acc: 2.675 | Val Acc: 1.897
Epoch 13: | Train Loss: 3153.156969 | Val Loss: 187.306054 | Train Acc: 2.746 | Val Acc: 1.581
Epoch 14: | Train Loss: 437.279785 | Val Loss: 2.163099 | Train Acc: 3.883 | Val Acc: 1.682
Epoch 15: | Train Loss: 2.020059 | Val Loss: 2.157270 | Train Acc: 3.112 | Val Acc: 1.764
Epoch 16: | Train Loss: 1.991719 | Val Loss: 2.159756 | Train Acc: 3.206 | Val Acc: 1.755
Epoch 17: | Train Loss: 1.986643 | Val Loss: 2.150182 | Train Acc: 3.217 | Val Acc: 1.782
Epoch 18: | Train Loss: 1.988061 | Val Loss: 2.153707 | Train Acc: 3.261 | Val Acc: 1.755
Epoch 19: | Train Loss: 1.991374 | Val Loss: 2.153872 | Train Acc: 3.365 | Val Acc: 1.843
Epoch 20: | Train Loss: 1.983646 | Val Loss: 2.154413 | Train Acc: 3.399 | Val Acc: 1.850
Epoch 21: | Train Loss: 3096.485313 | Val Loss: 32.559752 | Train Acc: 4.138 | Val Acc: 2.278
Epoch 22: | Train Loss: 14.087895 | Val Loss: 6.256614 | Train Acc: 3.614 | Val Acc: 5.723
Epoch 23: | Train Loss: 1207.603449 | Val Loss: 468.624308 | Train Acc: 5.931 | Val Acc: 2.291
Epoch 24: | Train Loss: 197.256419 | Val Loss: 102.031885 | Train Acc: 4.446 | Val Acc: 4.130
Epoch 25: | Train Loss: 5.748180 | Val Loss: 2.151103 | Train Acc: 5.023 | Val Acc: 3.564
Epoch 26: | Train Loss: 1.985262 | Val Loss: 2.144815 | Train Acc: 5.020 | Val Acc: 3.564
Epoch 27: | Train Loss: 1.986352 | Val Loss: 2.154806 | Train Acc: 5.018 | Val Acc: 3.578
Epoch 28: | Train Loss: 1.986625 | Val Loss: 2.153992 | Train Acc: 5.018 | Val Acc: 3.564
Epoch 29: | Train Loss: 1.985544 | Val Loss: 2.150604 | Train Acc: 5.024 | Val Acc: 3.557
Epoch 30: | Train Loss: 1.989150 | Val Loss: 2.150466 | Train Acc: 5.018 | Val Acc: 3.571
Epoch 31: | Train Loss: 1.991297 | Val Loss: 2.144379 | Train Acc: 5.014 | Val Acc: 3.568
Epoch 32: | Train Loss: 1.991294 | Val Loss: 2.149349 | Train Acc: 5.018 | Val Acc: 3.548
Epoch 33: | Train Loss: 2.014838 | Val Loss: 2.152378 | Train Acc: 4.565 | Val Acc: 2.782
Epoch 34: | Train Loss: 1.988345 | Val Loss: 2.153484 | Train Acc: 4.218 | Val Acc: 2.782
Epoch 35: | Train Loss: 1.991580 | Val Loss: 2.151882 | Train Acc: 4.214 | Val Acc: 2.793
Epoch 36: | Train Loss: 1.990957 | Val Loss: 2.150425 | Train Acc: 4.223 | Val Acc: 2.796
Epoch 37: | Train Loss: 1.990006 | Val Loss: 2.148666 | Train Acc: 4.221 | Val Acc: 2.796
Epoch 38: | Train Loss: 1165.992595 | Val Loss: 685.665163 | Train Acc: 4.939 | Val Acc: 3.572
Epoch 39: | Train Loss: 494.292988 | Val Loss: 2.142441 | Train Acc: 6.506 | Val Acc: 3.572
