torch.Size([5626, 26, 29])
MODELO PASADO

Epoch 0: | Train Loss: 4338.497032 | Val Loss: 1674.119709 | Train Acc: 73.473 | Val Acc: 81.748
Epoch 1: | Train Loss: 167.000383 | Val Loss: 1000.000528 | Train Acc: 80.913 | Val Acc: 81.806
Epoch 2: | Train Loss: 93.550292 | Val Loss: 1521.277385 | Train Acc: 82.895 | Val Acc: 85.630
Epoch 3: | Train Loss: 102.723298 | Val Loss: 743.638165 | Train Acc: 84.569 | Val Acc: 85.641
Epoch 4: | Train Loss: 211.816100 | Val Loss: 2031.533007 | Train Acc: 84.313 | Val Acc: 85.088
Epoch 5: | Train Loss: 87.978367 | Val Loss: 1302.965565 | Train Acc: 83.487 | Val Acc: 85.021
Epoch 6: | Train Loss: 118.128503 | Val Loss: 1925.782051 | Train Acc: 83.878 | Val Acc: 81.359
Epoch 7: | Train Loss: 255.522007 | Val Loss: 5726.807081 | Train Acc: 83.585 | Val Acc: 84.993
Epoch 8: | Train Loss: 202.085176 | Val Loss: 2054.634634 | Train Acc: 84.093 | Val Acc: 84.979
Epoch 9: | Train Loss: 80.542429 | Val Loss: 536.013809 | Train Acc: 83.168 | Val Acc: 83.782
Epoch 10: | Train Loss: 156.052325 | Val Loss: 2159.302500 | Train Acc: 83.263 | Val Acc: 81.127
Epoch 11: | Train Loss: 411.643230 | Val Loss: 1720.857599 | Train Acc: 83.950 | Val Acc: 83.900
Epoch 12: | Train Loss: 5711.159723 | Val Loss: 13220.105193 | Train Acc: 84.447 | Val Acc: 85.440
Epoch 13: | Train Loss: 1442.294231 | Val Loss: 8067.165981 | Train Acc: 84.500 | Val Acc: 84.657
Epoch 14: | Train Loss: 1799.056734 | Val Loss: 8586.209053 | Train Acc: 83.870 | Val Acc: 84.926
Epoch 15: | Train Loss: 489.671327 | Val Loss: 6760.915762 | Train Acc: 83.273 | Val Acc: 83.766
Epoch 16: | Train Loss: 545.155795 | Val Loss: 2516.589867 | Train Acc: 82.306 | Val Acc: 81.230
Epoch 17: | Train Loss: 440.578039 | Val Loss: 3848.349682 | Train Acc: 82.427 | Val Acc: 83.754
Epoch 18: | Train Loss: 440.599643 | Val Loss: 2643.242631 | Train Acc: 83.089 | Val Acc: 83.634
Epoch 19: | Train Loss: 105.561983 | Val Loss: 670.606118 | Train Acc: 82.785 | Val Acc: 83.685
Epoch 20: | Train Loss: 90.490559 | Val Loss: 1671.810485 | Train Acc: 82.962 | Val Acc: 83.584
Epoch 21: | Train Loss: 80.395887 | Val Loss: 541.371871 | Train Acc: 83.099 | Val Acc: 83.553
Epoch 22: | Train Loss: 108.100535 | Val Loss: 772.928581 | Train Acc: 83.492 | Val Acc: 79.939
Epoch 23: | Train Loss: 61.275255 | Val Loss: 1290.923712 | Train Acc: 83.788 | Val Acc: 84.945
Epoch 24: | Train Loss: 3126.088579 | Val Loss: 7997.076411 | Train Acc: 84.457 | Val Acc: 81.960
Epoch 25: | Train Loss: 1085.595285 | Val Loss: 1594.703009 | Train Acc: 84.295 | Val Acc: 85.063
