(26,)
[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 1. 2.]



(26,)
[ 4.  5.  6.  8. 28.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.]



3



torch.Size([5626, 26, 29])
MODELO PASADO
Epoch 0: | Train Loss: 471.439853 | Val Loss: 337.079018 | Train Acc: 5.336 | Val Acc: 8.268
Epoch 1: | Train Loss: 70.669510 | Val Loss: 234.722508 | Train Acc: 7.173 | Val Acc: 7.357
Epoch 2: | Train Loss: 183.885112 | Val Loss: 352.533089 | Train Acc: 5.607 | Val Acc: 7.508
Epoch 3: | Train Loss: 109.327783 | Val Loss: 137.025333 | Train Acc: 6.825 | Val Acc: 4.875
Epoch 4: | Train Loss: 18.329828 | Val Loss: 20.335892 | Train Acc: 5.095 | Val Acc: 4.517
Epoch 5: | Train Loss: 9.531282 | Val Loss: 95.803127 | Train Acc: 5.423 | Val Acc: 3.944
Epoch 6: | Train Loss: 5.925777 | Val Loss: 31.357374 | Train Acc: 4.840 | Val Acc: 5.534
Epoch 7: | Train Loss: 4.314649 | Val Loss: 11.751113 | Train Acc: 4.989 | Val Acc: 5.051
Epoch 8: | Train Loss: 2.712087 | Val Loss: 25.854191 | Train Acc: 4.497 | Val Acc: 4.019
Epoch 9: | Train Loss: 3.333926 | Val Loss: 4.501209 | Train Acc: 4.324 | Val Acc: 4.618
Epoch 10: | Train Loss: 2.400667 | Val Loss: 3.190424 | Train Acc: 4.548 | Val Acc: 4.651
Epoch 11: | Train Loss: 2.237143 | Val Loss: 3.621188 | Train Acc: 8.431 | Val Acc: 19.153
Epoch 12: | Train Loss: 2.200113 | Val Loss: 2.269384 | Train Acc: 12.240 | Val Acc: 4.408
Epoch 13: | Train Loss: 2.141934 | Val Loss: 2.243570 | Train Acc: 4.166 | Val Acc: 4.430
Epoch 14: | Train Loss: 2.132230 | Val Loss: 2.260634 | Train Acc: 4.171 | Val Acc: 4.447
Epoch 15: | Train Loss: 2.127876 | Val Loss: 2.165251 | Train Acc: 3.989 | Val Acc: 3.944
Epoch 16: | Train Loss: 2.120263 | Val Loss: 2.118458 | Train Acc: 3.880 | Val Acc: 3.950
Epoch 17: | Train Loss: 2.120667 | Val Loss: 2.146131 | Train Acc: 3.924 | Val Acc: 3.947
Epoch 18: | Train Loss: 2.118831 | Val Loss: 2.132908 | Train Acc: 3.882 | Val Acc: 3.941
